address,price,bathrooms,bedrooms,area,zestimate,rent_zestimate,days_on_zillow,property_url,zip,$/sqft,compare_$sqft_sold_inZip,household_median_income_on_threshold,median_age,median_house_value,poverty_rate,unemployment_rate,Target
"31 Main St, Pepperell, MA 01463",450000,2,4,2178.0 ,472600,2706,10,https://www.zillow.com/homedetails/31-Main-St-Pepperell-MA-01463/57096479_zpid/,01463,207,1.0000,48.76,44.0,0.3104,0.038,0.035,1
"27 Fitzpatrick Rd, Grafton, MA 01519",440000,3,3,1604.0 ,520100,2499,27,https://www.zillow.com/homedetails/27-Fitzpatrick-Rd-Grafton-MA-01519/57592588_zpid/,01519,274,1.0000,56.67,41.7,0.2118,0.018,0.034,0
"52 Hollis St, Groton, MA 01450",595000,2,4,3440.0 ,639700,3300,27,https://www.zillow.com/homedetails/52-Hollis-St-Groton-MA-01450/57066621_zpid/,01450,173,1.0000,84.41,45.6,0.2579,0.014,0.034,0
"945 Main St #A, Shrewsbury, MA 01545",500000,3,3,2643.0 ,500000,3369,27,https://www.zillow.com/homedetails/945-Main-St-A-Shrewsbury-MA-01545/331695587_zpid/,01545,189,1.0000,50.02,41.9,0.2019,0.029,0.038,1
"278 Fisher St, Walpole, MA 02081",599900,2,5,2004.0 ,635200,3599,53,https://www.zillow.com/homedetails/278-Fisher-St-Walpole-MA-02081/57509235_zpid/,02081,299,1.0000,67.91,40.8,0.2344,0.026,0.040,0
"37 Belknap St, Westborough, MA 01581",449900,2,5,1500.0 ,460300,2769,88,https://www.zillow.com/homedetails/37-Belknap-St-Westborough-MA-01581/57675974_zpid/,01581,300,1.0000,60.22,38.8,-0.0179,0.025,0.023,0
"14 Lido Ln, Bedford, MA 01730",689000,3,3,1393.0 ,713100,3569,5,https://www.zillow.com/homedetails/14-Lido-Ln-Bedford-MA-01730/57047235_zpid/,01730,495,0.0929,83.36,42.4,0.0514,0.020,0.055,1
"166 Hunt Rd, Chelmsford, MA 01824",599900,2,3,2000.0 ,648000,3069,4,https://www.zillow.com/homedetails/166-Hunt-Rd-Chelmsford-MA-01824/56451254_zpid/,01824,300,-0.0212,80.12,44.7,0.4043,0.015,0.043,0
"3 Evans Rd, Marblehead, MA 01945",655000,2,3,1712.0 ,723500,3058,46,https://www.zillow.com/homedetails/3-Evans-Rd-Marblehead-MA-01945/56940460_zpid/,01945,383,0.0644,76.19,47.9,-0.0302,0.027,0.049,0
"21 Saddle Hill Rd, Medway, MA 02053",639000,3,4,2068.0 ,659400,4338,5,https://www.zillow.com/homedetails/21-Saddle-Hill-Rd-Medway-MA-02053/57461110_zpid/,02053,309,1.0000,89.75,41.6,0.5450,0.039,0.027,1
