address,price,bathrooms,bedrooms,area,zestimate,rent_zestimate,days_on_zillow,property_url,zip,$/sqft,compare_$sqft_sold_inZip,household_median_income_on_threshold,median_age,median_house_value,poverty_rate,unemployment_rate,Target
"46 Revere St, Hull, MA 02045",604900,2,5,1776.0 ,604900,3399,25,https://www.zillow.com/homedetails/46-Revere-St-Hull-MA-02045/57532910_zpid/,02045,341,0.1794,26.39,53.5,0.4877,0.028,0.067,0
"77 Norton Dr, Norwood, MA 02062",668800,2,3,2246.0 ,678400,2870,6,https://www.zillow.com/homedetails/77-Norton-Dr-Norwood-MA-02062/57490759_zpid/,02062,298,1.0000,28.76,40.8,0.5224,0.065,0.030,1
"40 Bickford Rd, Braintree, MA 02184",559900,2,3,1672.0 ,581700,3099,45,https://www.zillow.com/homedetails/40-Bickford-Rd-Braintree-MA-02184/184109239_zpid/,02184,335,-0.1497,37.89,41.5,0.2265,0.039,0.035,1
"948 Main St, Weymouth, MA 02190",639000,4,5,2240.0 ,659700,3800,57,https://www.zillow.com/homedetails/948-Main-St-Weymouth-MA-02190/56634187_zpid/,02190,285,1.0000,36.52,43.3,0.6227,0.036,0.039,0
"1 Marshall St, Ayer, MA 01432",525000,3,3,1858.0 ,552800,3590,10,https://www.zillow.com/homedetails/1-Marshall-St-Ayer-MA-01432/2069235740_zpid/,01432,283,1.0000,34.82,41.7,0.6055,0.016,0.016,0
"52 Elm Knoll Rd, Braintree, MA 02184",625000,2,3,1260.0 ,650000,3127,3,https://www.zillow.com/homedetails/52-Elm-Knoll-Rd-Braintree-MA-02184/184107953_zpid/,02184,496,0.2238,37.89,41.5,0.3691,0.039,0.035,0
"69 Bow St, Saugus, MA 01906",597900,2,4,2200.0 ,612600,3334,88,https://www.zillow.com/homedetails/69-Bow-St-Saugus-MA-01906/56134235_zpid/,01906,272,-0.0838,26.61,47.1,0.5137,0.071,0.050,1
"51 Adams St, Danvers, MA 01923",599900,2,3,1236.0 ,633000,2452,5,https://www.zillow.com/homedetails/51-Adams-St-Danvers-MA-01923/56915643_zpid/,01923,485,0.3640,27.50,44.6,0.4036,0.050,0.036,0
"5 Pinehurst Ave, Saugus, MA 01906",489900,2,3,1792.0 ,523900,3200,263,https://www.zillow.com/homedetails/5-Pinehurst-Ave-Saugus-MA-01906/56134311_zpid/,01906,273,-0.0774,26.61,47.1,0.2403,0.071,0.050,1
"49 A Massasoit Ave, Hull, MA 02045",549000,2,3,1540.0 ,402200,2322,6,https://www.zillow.com/homedetails/49-A-Massasoit-Ave-Hull-MA-02045/57191273_zpid/,02045,356,0.2160,26.39,53.5,0.3502,0.028,0.067,0
"1008 Methuen St, Dracut, MA 01826",630000,3,7,2629.0 ,649200,2132,12,https://www.zillow.com/homedetails/1008-Methuen-St-Dracut-MA-01826/56461547_zpid/,01826,240,1.0000,28.57,40.0,0.8925,0.043,0.041,0
"430 Commercial St, Braintree, MA 02184",509900,2,3,1260.0 ,524600,2799,4,https://www.zillow.com/homedetails/430-Commercial-St-Braintree-MA-02184/184107630_zpid/,02184,405,0.0486,37.89,41.5,0.1170,0.039,0.035,0
"24 Cross St, South Grafton, MA 01560",299900,2,3,1296.0 ,336900,2199,14,https://www.zillow.com/homedetails/24-Cross-St-South-Grafton-MA-01560/57593160_zpid/,01560,231,1.0000,26.79,39.2,-0.1743,0.015,0.073,0
"160 Hayward St, Braintree, MA 02184",569900,2,3,1274.0 ,583800,2799,40,https://www.zillow.com/homedetails/160-Hayward-St-Braintree-MA-02184/184109575_zpid/,02184,447,0.1393,37.89,41.5,0.2484,0.039,0.035,0
"24 Sewall St, Boylston, MA 01505",524900,3,5,2888.0 ,543600,3300,5,https://www.zillow.com/homedetails/24-Sewall-St-Boylston-MA-01505/57569649_zpid/,01505,182,1.0000,39.42,45.2,0.3602,0.024,0.025,1
"196 Main St, Boylston, MA 01505",499999,3,4,2072.0 ,517000,2358,3,https://www.zillow.com/homedetails/196-Main-St-Boylston-MA-01505/70879997_zpid/,01505,241,1.0000,39.42,45.2,0.2957,0.024,0.025,1
"8 Warfield Ave, Hull, MA 02045",549900,2,5,1750.0 ,550000,3200,80,https://www.zillow.com/homedetails/8-Warfield-Ave-Hull-MA-02045/57191194_zpid/,02045,314,0.1106,26.39,53.5,0.3524,0.028,0.067,0
"27 Hollis St, Weymouth, MA 02190",495000,2,3,1465.0 ,521200,2799,3,https://www.zillow.com/homedetails/27-Hollis-St-Weymouth-MA-02190/56634221_zpid/,02190,338,1.0000,36.52,43.3,0.2570,0.036,0.039,0
"687 Main St, Woburn, MA 01801",595000,2,5,2567.0 ,623600,1843,126,https://www.zillow.com/homedetails/687-Main-St-Woburn-MA-01801/56384606_zpid/,01801,232,-0.4642,29.96,40.0,0.3109,0.044,0.030,1
"224 Main St, South Grafton, MA 01560",549900,3,3,2674.0 ,565900,2963,8,https://www.zillow.com/homedetails/224-Main-St-South-Grafton-MA-01560/57592894_zpid/,01560,206,1.0000,26.79,39.2,0.5140,0.015,0.073,0
"253 Sterling St, Lancaster, MA 01523",529900,3,4,2016.0 ,,,0,https://www.zillow.com/homedetails/253-Sterling-St-Lancaster-MA-01523/57606284_zpid/,01523,263,1.0000,33.41,39.2,0.4546,0.028,0.053,0
"55 Park Ave, Hull, MA 02045",429000,3,4,1829.0 ,453100,3087,43,https://www.zillow.com/homedetails/55-Park-Ave-Hull-MA-02045/57533379_zpid/,02045,235,-0.1916,26.39,53.5,0.0551,0.028,0.067,0
"51 Mohawk St, Danvers, MA 01923",649900,2,3,1805.0 ,703200,2894,25,https://www.zillow.com/homedetails/51-Mohawk-St-Danvers-MA-01923/56910008_zpid/,01923,360,0.1426,27.50,44.6,0.5206,0.050,0.036,1
"34 Union St, Woburn, MA 01801",565000,3,8,2872.0 ,567700,4205,46,https://www.zillow.com/homedetails/34-Union-St-Woburn-MA-01801/56386489_zpid/,01801,197,-0.7252,29.96,40.0,0.2448,0.044,0.030,0
"14 Brissett St, Dracut, MA 01826",539900,2,3,2105.0 ,566300,2287,5,https://www.zillow.com/homedetails/14-Brissett-St-Dracut-MA-01826/56460675_zpid/,01826,256,1.0000,28.57,40.0,0.6218,0.043,0.041,0
"21 Jerome St, Medford, MA 02155",575000,2,3,1176.0 ,622500,3200,38,https://www.zillow.com/homedetails/21-Jerome-St-Medford-MA-02155/56278809_zpid/,02155,489,0.1020,37.84,34.1,0.1482,0.038,0.028,0
"26 Lawrence St, Danvers, MA 01923",669900,2,5,2420.0 ,714900,3369,9,https://www.zillow.com/homedetails/26-Lawrence-St-Danvers-MA-01923/56915036_zpid/,01923,277,-0.1152,27.50,44.6,0.5674,0.050,0.036,0
"8 York Dr, Hudson, MA 01749",489900,2,4,1529.0 ,515700,2999,8,https://www.zillow.com/homedetails/8-York-Dr-Hudson-MA-01749/57077681_zpid/,01749,320,0.2803,31.01,44.0,0.3851,0.044,0.038,1
"531 Pine St, Weymouth, MA 02190",525000,2,3,1848.0 ,549700,3229,51,https://www.zillow.com/homedetails/531-Pine-St-Weymouth-MA-02190/56633817_zpid/,02190,284,1.0000,36.52,43.3,0.3332,0.036,0.039,0
"87 Winn St #2, Woburn, MA 01801",499900,2,3,1400.0 ,519000,3140,11,https://www.zillow.com/homedetails/87-Winn-St-2-Woburn-MA-01801/124149303_zpid/,01801,357,0.0495,29.96,40.0,0.1013,0.044,0.030,1
"582 Lincoln Ave, Saugus, MA 01906",399113,2,3,1739.0 ,436900,3200,5,https://www.zillow.com/homedetails/582-Lincoln-Ave-Saugus-MA-01906/56126654_zpid/,01906,230,-0.2833,26.61,47.1,0.0104,0.071,0.050,1
"39 Brockelman Rd, Lancaster, MA 01523",695000,2,3,2520.0 ,673600,2308,0,https://www.zillow.com/homedetails/39-Brockelman-Rd-Lancaster-MA-01523/57605432_zpid/,01523,276,1.0000,33.41,39.2,0.9078,0.028,0.053,0
"2 Joseph St, Medford, MA 02155",699900,2,3,1268.0 ,735400,2954,6,https://www.zillow.com/homedetails/2-Joseph-St-Medford-MA-02155/56285749_zpid/,02155,552,0.2045,37.84,34.1,0.3976,0.038,0.028,0
"16 Cayuga Dr, Hudson, MA 01749",449900,2,4,2189.0 ,530300,2999,11,https://www.zillow.com/homedetails/16-Cayuga-Dr-Hudson-MA-01749/57081084_zpid/,01749,206,-0.1220,31.01,44.0,0.2720,0.044,0.038,0
"13 Church St, Upton, MA 01568",578500,2,7,3248.0 ,587800,2843,109,https://www.zillow.com/homedetails/13-Church-St-Upton-MA-01568/173952869_zpid/,01568,178,1.0000,83.99,42.4,0.1896,0.015,0.049,0
"30 Texas Rd, Tewksbury, MA 01876",485000,2,3,1200.0 ,514700,2884,3,https://www.zillow.com/homedetails/30-Texas-Rd-Tewksbury-MA-01876/56347502_zpid/,01876,404,1.0000,47.05,44.6,0.2458,0.029,0.036,0
"142 Walnut St, Shrewsbury, MA 01545",560000,3,4,1588.0 ,576100,2769,3,https://www.zillow.com/homedetails/142-Walnut-St-Shrewsbury-MA-01545/56723673_zpid/,01545,353,1.0000,50.02,41.9,0.3462,0.029,0.038,1
"42 Knowlton Ave, Shrewsbury, MA 01545",585000,3,5,3055.0 ,592200,3200,11,https://www.zillow.com/homedetails/42-Knowlton-Ave-Shrewsbury-MA-01545/56721342_zpid/,01545,191,1.0000,50.02,41.9,0.4062,0.029,0.038,1
"158 Rockland St, Canton, MA 02021",575000,2,3,1210.0 ,519500,2769,2,https://www.zillow.com/homedetails/158-Rockland-St-Canton-MA-02021/184093504_zpid/,02021,475,1.0000,51.31,42.6,0.1263,0.033,0.039,0
"13-15 Dell Ave, Melrose, MA 02176",699900,2,4,2143.0 ,753900,2174,3,https://www.zillow.com/homedetails/13-15-Dell-Ave-Melrose-MA-02176/165807179_zpid/,02176,327,-0.1347,52.79,41.3,0.2272,0.018,0.028,1
